park,code,date,visitors
Acadia,ACAD,2000,2469238
Acadia,ACAD,2001,2516551
Acadia,ACAD,2002,2558572
Acadia,ACAD,2003,2431062
Acadia,ACAD,2004,2207847
Acadia,ACAD,2005,2051484
Acadia,ACAD,2006,2083588
Acadia,ACAD,2007,2202228
Acadia,ACAD,2008,2075857
Acadia,ACAD,2009,2227698
Acadia,ACAD,2010,2504208
Acadia,ACAD,2011,2374645
Acadia,ACAD,2012,2431052
Acadia,ACAD,2013,2254922
Acadia,ACAD,2014,2563129
Acadia,ACAD,2015,2811184
Glacier,GLAC,2000,1728693
Glacier,GLAC,2001,1680614
Glacier,GLAC,2002,1905689
Glacier,GLAC,2003,1664046
Glacier,GLAC,2004,2033933
Glacier,GLAC,2005,1925101
Glacier,GLAC,2006,1964399
Glacier,GLAC,2007,2083329
Glacier,GLAC,2008,1808027
Glacier,GLAC,2009,2031348
Glacier,GLAC,2010,2200048
Glacier,GLAC,2011,1853564
Glacier,GLAC,2012,2162035
Glacier,GLAC,2013,2190374
Glacier,GLAC,2014,2338528
Glacier,GLAC,2015,2366056
Grand Canyon,GRCA,2000,4460228
Grand Canyon,GRCA,2001,4104809
Grand Canyon,GRCA,2002,4001974
Grand Canyon,GRCA,2003,4124900
Grand Canyon,GRCA,2004,4326234
Grand Canyon,GRCA,2005,4401522
Grand Canyon,GRCA,2006,4279439
Grand Canyon,GRCA,2007,4413668
Grand Canyon,GRCA,2008,4425314
Grand Canyon,GRCA,2009,4348068
Grand Canyon,GRCA,2010,4388386
Grand Canyon,GRCA,2011,4298178
Grand Canyon,GRCA,2012,4421352
Grand Canyon,GRCA,2013,4564840
Grand Canyon,GRCA,2014,4756771
Grand Canyon,GRCA,2015,5520736
Grand Teton,GRTE,2000,2590624
Grand Teton,GRTE,2001,2535108
Grand Teton,GRTE,2002,2612629
Grand Teton,GRTE,2003,2355693
Grand Teton,GRTE,2004,2360373
Grand Teton,GRTE,2005,2463442
Grand Teton,GRTE,2006,2406476
Grand Teton,GRTE,2007,2588574
Grand Teton,GRTE,2008,2485987
Grand Teton,GRTE,2009,2580081
Grand Teton,GRTE,2010,2669374
Grand Teton,GRTE,2011,2587437
Grand Teton,GRTE,2012,2705256
Grand Teton,GRTE,2013,2688794
Grand Teton,GRTE,2014,2791392
Grand Teton,GRTE,2015,3149921
Great Smoky Mountains,GRSM,2000,10175812 
Great Smoky Mountains,GRSM,2001,9197697
Great Smoky Mountains,GRSM,2002,9316420
Great Smoky Mountains,GRSM,2003,9366845
Great Smoky Mountains,GRSM,2004,9167046
Great Smoky Mountains,GRSM,2005,9192477
Great Smoky Mountains,GRSM,2006,9289215
Great Smoky Mountains,GRSM,2007,9372253
Great Smoky Mountains,GRSM,2008,9044010
Great Smoky Mountains,GRSM,2009,9491437
Great Smoky Mountains,GRSM,2010,9463538
Great Smoky Mountains,GRSM,2011,9008830
Great Smoky Mountains,GRSM,2012,9685829
Great Smoky Mountains,GRSM,2013,9354695
Great Smoky Mountains,GRSM,2014,10099276
Great Smoky Mountains,GRSM,2015,10712674
Olympic,OLYM,2000,3327722
Olympic,OLYM,2001,3416069
Olympic,OLYM,2002,3691310
Olympic,OLYM,2003,3225327
Olympic,OLYM,2004,3073722
Olympic,OLYM,2005,3142774
Olympic,OLYM,2006,2749197
Olympic,OLYM,2007,2988686
Olympic,OLYM,2008,3081451
Olympic,OLYM,2009,3276459
Olympic,OLYM,2010,2844563
Olympic,OLYM,2011,2966502
Olympic,OLYM,2012,2824908
Olympic,OLYM,2013,3085340
Olympic,OLYM,2014,3243872
Olympic,OLYM,2015,3263761
Rocky Mountain,ROMO,2000,3185392
Rocky Mountain,ROMO,2001,3139685
Rocky Mountain,ROMO,2002,2988475
Rocky Mountain,ROMO,2003,3067256
Rocky Mountain,ROMO,2004,2781899
Rocky Mountain,ROMO,2005,2798368
Rocky Mountain,ROMO,2006,2743676
Rocky Mountain,ROMO,2007,2895383
Rocky Mountain,ROMO,2008,2757390
Rocky Mountain,ROMO,2009,2822325
Rocky Mountain,ROMO,2010,2955821
Rocky Mountain,ROMO,2011,3176941
Rocky Mountain,ROMO,2012,3229617
Rocky Mountain,ROMO,2013,2991141
Rocky Mountain,ROMO,2014,3434751
Rocky Mountain,ROMO,2015,4155916
Yellowstone,YELL,2000,2838233
Yellowstone,YELL,2001,2758526
Yellowstone,YELL,2002,2973677
Yellowstone,YELL,2003,3019375
Yellowstone,YELL,2004,2868317
Yellowstone,YELL,2005,2835651
Yellowstone,YELL,2006,2870295
Yellowstone,YELL,2007,3151343
Yellowstone,YELL,2008,3066580
Yellowstone,YELL,2009,3295187
Yellowstone,YELL,2010,3640185
Yellowstone,YELL,2011,3394326
Yellowstone,YELL,2012,3447729
Yellowstone,YELL,2013,3188030
Yellowstone,YELL,2014,3513484
Yellowstone,YELL,2015,4097710
Yosemite,YOSE,2000,3400903
Yosemite,YOSE,2001,3368731
Yosemite,YOSE,2002,3361867
Yosemite,YOSE,2003,3378664
Yosemite,YOSE,2004,3280911
Yosemite,YOSE,2005,3304144
Yosemite,YOSE,2006,3242644
Yosemite,YOSE,2007,3503428
Yosemite,YOSE,2008,3431514
Yosemite,YOSE,2009,3737472
Yosemite,YOSE,2010,3901408
Yosemite,YOSE,2011,3951393
Yosemite,YOSE,2012,3853404
Yosemite,YOSE,2013,3691191
Yosemite,YOSE,2014,3882642
Yosemite,YOSE,2015,4150217
Zion,ZION,2000,2432348
Zion,ZION,2001,2217779
Zion,ZION,2002,2592545
Zion,ZION,2003,2458792
Zion,ZION,2004,2677342
Zion,ZION,2005,2586665
Zion,ZION,2006,2567350
Zion,ZION,2007,2657281
Zion,ZION,2008,2690154
Zion,ZION,2009,2735402
Zion,ZION,2010,2665972
Zion,ZION,2011,2825505
Zion,ZION,2012,2973607
Zion,ZION,2013,2807387
Zion,ZION,2014,3189696
Zion,ZION,2015,3648846