id,parent,value,valuet,group,price
Facebook,Facebook,1712,4212,1,325
WhatsApp,Facebook,1000,1,1,19
FacebookMessenger,Facebook,1000,1,1,25
TencentQQ,TencentQQ,899,2357,7,209
WeChat,TencentQQ,806,1,7,83.6
QZone,TencentQQ,652,1,7,10
Tumblr,Yahoo,555,555,3,0.350
Instagram,Facebook,500,1,1,35
Twitter,Twitter,313,313,2,22
BaiduTieba,BaiduTieba,300,300,2,56
Skype,Microsoft,300,406,4,8.5
SinaWeibo,SinaWeibo,282,282,2,5
Viber,Rakuten,249,249,2,1
LINE,LINE,218,218,2,5.5
Snapchat,Snap,200,200,2,25
yy,yy,122,122,2,2.28
LinkedIn,Microsoft,106,1,4,26.2
VKontakte,Megafon,100,100,2,4
Pinterest,Pinterest,100,100,2,11
BBM,Blackberry,100,100,2,3.4
Telegram,Telegram,100,100,2,1