wkt_geom	MWShapeID	Lon	Lat	Tot_Deaths	Mar-2011	Apr-2011	May-2011	Jun-2011	Jul-2011	Aug-2011	Sep-2011	Oct-2011	Nov-2011	Dec-2011	Jan-2012	Feb-2012	Mar-2012	Apr-2012	May-2012	Jun-2012	Jul-2012	Aug-2012	Sep-2012	Oct-2012	Nov-2012	Dec-2012	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014	Jan-2015	Feb-2015	Mar-2015	Apr-2015	May-2015	Jun-2015	Jul-2015	Aug-2015	Sep-2015	Oct-2015	Nov-2015	Dec-2015	Jan-2016	Feb-2016	Air	Artillery	Asphyxi	Beat_Stab	Burned	Chemical	Crushed	Gun_Shot	Mine	Missiles	Other	Outage	Sniper	Stress	Torture	Unspec	Wounds
Point (37.05717099999999675 34.2498379999999969)	0	35.362946	35.924678	87	0	27	1	4	0	2	0	0	0	0	1	2	1	0	0	0	0	1	2	4	3	2	2	0	1	3	5	1	2	2	0	0	0	0	1	0	2	1	1	0	0	1	0	0	0	1	1	0	2	1	1	1	0	0	0	1	4	2	1	0	0	3	0	0	0	0	0	60	0	0	0	0	1	0	21	0	0
Point (36.72556800000000266 34.72411000000000314)	0	35.648718	36.676469	1311	0	1	17	12	3	3	2	2	6	9	10	26	40	16	9	34	37	28	23	229	132	66	14	21	15	45	11	7	19	24	23	22	15	14	13	16	16	22	18	4	19	5	30	5	5	32	5	3	8	19	12	18	5	6	3	11	25	11	58	7	251	501	0	0	0	0	1	464	0	0	4	6	20	1	29	0	26
Point (36.74167200000000122 34.71804300000000154)	0	36.375271	37.51811	1314	0	1	0	0	0	0	2	0	0	0	0	4	1	9	6	16	55	24	74	27	22	7	25	16	6	5	17	16	1	7	23	5	105	57	91	20	12	8	10	6	22	28	74	6	52	69	43	16	5	16	66	2	86	5	1	46	4	35	46	14	474	507	0	0	0	0	0	275	0	0	0	1	11	1	13	0	9
Point (36.6766409999999965 34.63793900000000292)	0	36.525088	36.865997	107	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	2	22	1	0	3	2	1	3	10	2	4	6	1	1	2	1	4	1	1	0	5	2	2	2	2	5	0	3	1	1	0	1	0	0	2	1	0	1	2	0	0	2	15	25	0	1	0	0	0	44	0	0	0	0	5	0	7	0	1
Point (35.97599400000000003 34.63543200000000155)	0	35.349856	40.165787	6811	0	1	9	20	35	115	12	2	17	9	32	20	47	38	53	300	344	326	462	341	163	210	127	123	130	143	138	128	88	148	81	147	48	108	31	74	96	132	213	140	115	85	100	62	79	106	57	54	72	70	206	85	114	93	106	114	86	132	311	113	978	1800	14	4	13	4	1	3016	22	0	0	55	252	2	294	0	39
Point (37.05222100000000296 35.01228299999999649)	0	34.026486	36.728826	610	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	2	4	3	1	13	4	15	11	13	2	15	17	11	2	5	5	6	56	346	14	9	3	5	33	4	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	194	0	0	0	0	0	328	0	0	0	0	18	0	66	0	2
Point (36.06669899999999984 33.04999899999999968)	0	35.867352	36.802382	712	0	1	0	2	2	0	3	6	6	9	13	5	45	9	15	11	46	38	34	16	34	8	6	4	8	57	11	5	21	11	16	5	3	0	10	2	4	8	5	12	3	15	21	20	3	11	3	3	20	24	22	20	23	9	2	0	10	4	4	4	146	293	3	0	1	0	0	226	0	0	0	0	10	0	15	0	11
Point (36.70476399999999728 34.69425600000000287)	0	34.672041	36.261821	256	0	2	55	2	3	0	5	1	8	10	12	3	9	2	0	3	5	6	4	19	6	10	1	0	19	10	2	21	4	3	0	15	3	1	1	3	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	16	0	18	0	0	0	158	1	0	0	1	9	0	36	0	3
Point (37.95277099999999848 36.5305359999999979)	0	33.316699	36.183296	71	0	2	0	0	1	0	0	0	0	0	0	0	0	1	7	0	1	2	2	10	4	1	0	3	0	2	1	1	1	0	1	1	2	2	2	2	1	1	0	2	1	1	0	2	4	1	1	1	4	1	0	1	0	1	0	0	0	0	0	0	1	18	0	0	0	0	0	38	0	0	0	1	0	0	13	0	0
Point (38.35753400000000113 36.89293899999999837)	0	33.692924	36.096153	317	0	1	0	1	0	0	0	3	0	1	2	40	9	2	1	4	6	3	1	10	4	2	5	1	5	2	2	4	1	7	10	2	5	9	1	0	8	5	2	2	0	2	1	3	1	5	10	0	3	1	5	8	21	32	9	4	4	19	27	1	22	75	0	0	0	0	0	128	0	0	0	34	29	0	22	0	3
Point (36.73075500000000204 34.73749300000000062)	0	34.823809	36.696539	358	0	2	3	0	0	0	0	1	0	7	4	0	0	0	7	5	8	15	13	18	6	9	11	2	7	3	9	13	4	8	3	2	6	2	5	2	4	18	6	6	4	1	5	1	4	2	1	1	3	17	0	2	3	6	1	66	1	0	15	16	110	144	0	0	2	0	0	81	0	0	0	0	6	1	14	0	0
Point (36.83112100000000311 36.13565700000000191)	0	34.803937	36.706839	115	0	1	0	0	0	0	0	0	0	3	1	1	1	1	0	1	1	5	3	2	2	0	0	3	8	0	1	3	1	2	0	1	1	0	1	0	3	3	0	7	1	0	3	0	1	1	1	2	2	0	0	1	0	0	0	31	3	6	1	6	33	17	0	0	0	0	0	52	0	0	0	0	3	0	10	0	0
Point (36.59746200000000016 33.74289799999999673)	0	34.718625	36.721544	43	0	8	0	0	1	2	2	1	1	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	37	0	0	0	0	3	0	0	0	0
Point (37.30559699999999879 34.81230599999999953)	0	32.9369 	35.701098	169	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0	4	1	1	2	2	8	1	3	3	0	2	2	1	6	3	3	2	5	29	1	0	3	8	7	1	6	3	4	2	2	0	3	1	13	5	10	5	0	6	0	2	1	2	26	72	0	0	0	0	0	51	0	0	0	0	7	1	8	0	3
Point (36.70745999999999754 34.73085400000000078)	0	32.834401	35.968899	187	0	2	0	0	0	0	1	3	1	1	0	6	0	1	1	3	2	2	6	1	3	7	1	11	1	4	7	2	8	1	7	3	6	1	0	11	6	6	7	15	9	1	3	3	3	1	5	0	4	1	0	2	0	0	0	2	7	2	5	2	1	96	0	0	0	0	0	76	0	0	0	0	1	0	12	0	1
Point (37.06764199999999931 34.28672300000000206)	0	32.551699	36.183599	124	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	7	7	1	0	3	1	2	0	2	0	1	0	3	2	0	0	1	1	0	8	1	8	0	1	1	0	22	3	2	1	1	7	4	1	13	2	3	2	0	1	0	3	0	29	30	0	0	0	0	0	50	0	0	0	0	2	0	13	0	0
Point (36.72848199999999963 35.66852300000000042)	0	32.991676	36.061794	512	0	0	22	0	0	2	1	5	2	3	5	0	2	2	4	2	2	8	2	0	4	4	0	28	12	9	4	10	12	8	4	4	2	63	28	27	3	8	40	5	21	3	5	17	13	13	6	21	19	8	3	5	0	3	2	14	2	14	1	5	60	235	0	0	0	0	0	145	0	0	0	1	3	0	61	0	5
Point (37.0866540000000029 34.60672000000000281)	0	33.540465	36.370919	1508	0	0	2	0	0	10	7	2	7	1	4	3	2	9	6	12	44	66	49	54	45	51	55	42	33	12	51	42	25	91	24	29	36	39	19	17	21	28	24	22	27	32	41	82	3	17	27	21	25	5	15	2	34	62	37	9	16	31	31	7	185	510	0	1	0	74	1	621	0	0	0	16	49	5	26	0	19
Point (36.71180199999999871 34.75578800000000257)	0	36.505497	40.746174	1318	0	0	1	1	1	0	0	2	0	2	1	16	3	1	5	3	22	8	16	1	12	15	25	52	80	39	14	49	27	28	48	45	8	2	21	48	5	6	0	2	18	29	78	4	18	12	70	42	92	12	51	39	17	19	12	4	33	41	35	83	333	197	0	0	0	0	0	541	0	0	0	0	6	2	32	0	2
Point (37.08174700000000001 36.29091499999999826)	0	34.717382	36.731479	293	0	0	1	0	2	1	7	20	25	38	60	20	64	0	1	0	0	0	0	2	1	2	3	1	5	6	2	5	2	5	1	1	1	1	0	0	6	1	2	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	16	0	6	6	0	0	237	0	0	0	1	6	0	15	0	2
Point (35.94059599999999932 32.71690000000000254)	0	34.965874	40.544672	192	0	0	1	0	0	1	0	0	0	8	1	4	14	10	5	1	1	3	6	1	22	0	4	4	3	4	6	12	2	1	1	4	2	10	1	0	5	1	8	7	3	4	0	0	6	9	2	2	0	0	2	1	1	1	1	2	0	1	1	3	16	59	0	0	0	0	0	92	0	0	0	0	1	0	13	0	1
Point (36.77320699999999931 34.72683500000000123)	0	35.618233	36.782384	184	0	0	1	1	1	1	0	0	0	1	0	0	7	16	0	0	0	8	3	3	1	1	0	0	3	1	2	5	0	0	3	0	7	1	1	3	3	6	4	2	7	2	17	6	2	6	0	1	3	4	2	12	1	5	0	2	2	13	6	8	40	44	0	0	0	0	0	86	0	0	3	3	1	0	6	0	0
Point (38.87193200000000104 34.88677599999999757)	0	32.545981	36.427567	132	0	0	5	0	0	0	0	0	0	0	0	3	0	0	1	1	3	10	0	26	0	1	0	0	9	2	6	3	0	2	2	2	3	1	0	0	4	8	1	0	2	0	1	2	1	1	3	2	6	1	6	4	2	3	1	0	1	1	2	0	3	31	0	0	0	0	0	70	1	0	0	0	3	0	23	0	1
Point (36.68072599999999994 34.7421719999999965)	0	35.442351	36.647615	662	0	0	1	3	0	5	9	10	9	14	9	12	16	15	70	8	50	2	9	39	3	3	2	20	2	5	7	10	5	5	1	0	5	3	6	13	29	18	12	12	9	20	14	21	11	7	12	34	5	3	10	8	5	3	4	14	26	9	2	3	126	227	0	0	7	3	0	246	0	3	0	0	10	0	28	0	5
Point (36.7178389999999979 35.87069000000000329)	0	35.659109	36.484122	225	0	0	2	0	0	0	2	0	3	76	1	0	3	2	1	1	1	16	11	1	0	1	0	3	5	0	2	1	0	4	10	9	1	0	0	1	1	4	3	0	4	0	1	2	3	0	9	3	0	5	6	0	12	1	3	3	3	5	0	0	38	57	2	0	0	0	0	53	0	0	0	0	0	0	2	0	2
Point (36.38915800000000189 33.75724300000000255)	0	35.956888	39.013424	2724	0	0	1	0	1	2	0	0	3	0	4	8	34	1	2	1	10	5	45	41	79	120	96	120	209	88	97	125	57	76	117	42	53	59	53	14	22	30	20	48	12	54	97	19	159	100	12	21	7	12	15	27	39	34	39	58	75	73	145	43	644	878	2	0	1	2	0	894	0	14	0	14	16	2	88	4	14
Point (36.7126129999999975 34.72464000000000084)	0	35.814751	36.609693	898	0	0	1	3	0	0	0	1	0	5	12	8	22	7	11	33	20	213	5	13	7	24	34	17	16	1	29	6	49	133	51	3	4	1	3	1	3	0	4	11	4	2	1	0	0	1	6	1	2	1	8	12	5	41	9	1	28	2	11	12	112	382	0	0	19	0	0	313	0	0	0	0	48	1	13	0	8
Point (36.71113199999999921 34.72181100000000242)	0	35.636163	36.634154	103	0	0	1	1	0	0	0	0	0	1	0	0	1	6	1	0	1	2	8	5	4	5	0	5	2	3	0	0	8	2	2	0	2	0	3	3	3	0	2	2	4	2	1	0	0	0	0	1	0	2	4	0	1	9	0	0	1	0	5	0	16	46	0	1	0	0	0	33	0	0	0	0	0	0	4	0	2
Point (36.70968500000000034 35.63567400000000163)	0	35.614814	36.564202	346	0	0	1	0	1	5	1	0	5	5	3	3	10	2	0	9	2	89	4	26	11	0	1	10	6	0	6	2	5	2	9	10	0	9	2	8	6	5	3	9	2	8	4	1	2	16	3	1	4	7	4	0	2	5	3	3	2	3	5	1	86	102	0	0	0	0	0	125	0	0	0	0	4	0	22	0	6
Point (36.69465100000000035 36.1106979999999993)	0	34.735346	36.710722	193	0	0	1	0	2	0	1	1	0	2	7	7	7	78	5	25	20	5	5	3	1	2	1	3	3	1	0	0	0	2	1	0	1	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	5	37	0	0	0	0	0	128	0	0	0	0	16	1	3	1	2
Point (36.56006800000000112 35.2621600000000015)	0	35.641185	36.739554	126	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	2	1	0	0	1	4	8	1	2	0	5	5	0	2	2	1	5	1	2	1	1	0	7	7	7	6	1	5	9	4	4	0	1	1	1	0	1	1	1	4	1	2	2	1	9	17	47	0	0	0	2	0	53	0	0	0	1	2	0	3	0	1
Point (36.85326599999999786 34.70817499999999711)	0	33.0197 	36.026896	151	0	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0	1	0	3	0	0	0	0	1	2	0	7	1	4	13	4	2	1	1	4	3	1	10	3	1	2	28	1	12	6	5	0	2	8	1	2	2	0	0	0	10	0	3	1	0	12	65	1	0	0	0	0	49	0	0	0	0	1	0	21	0	2
Point (36.62143700000000024 35.32632999999999868)	0	35.021843	40.45126	587	0	0	1	1	0	0	1	1	0	0	0	2	2	1	3	2	25	92	2	27	55	7	10	13	18	11	2	10	1	7	2	20	3	5	18	9	4	4	8	12	0	6	8	7	4	17	9	5	26	1	20	10	6	14	27	13	10	7	12	6	138	157	0	0	1	0	0	209	0	0	0	0	4	1	19	2	6
Point (36.719301999999999 34.73445300000000202)		0	33.436169	36.07976	269	0	0	3	0	2	1	0	0	3	0	1	3	6	0	3	7	8	71	32	35	5	13	8	3	18	3	19	1	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	191	0	0	0	0	0	2	64	0	1
Point (36.69313400000000058 34.71031800000000089)	0	37.177962	42.139578	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Point (36.63446199999999919 34.67302899999999966)	0	34.731641	36.725471	71	0	0	0	1	0	1	1	3	1	2	24	10	7	2	1	6	0	0	0	0	1	0	0	3	1	0	0	2	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	6	0	0	0	50	0	0	0	0	4	0	5	0	1
Point (36.66496800000000178 33.96713900000000308)	0	34.560294	38.279943	500	0	0	0	1	0	8	0	0	0	2	0	3	0	0	2	2	2	4	3	2	1	3	6	14	13	10	9	5	5	7	2	11	5	2	9	6	2	6	11	13	10	5	2	1	2	4	4	1	7	6	48	57	26	20	31	21	14	44	6	22	214	73	0	0	0	0	0	119	0	0	0	0	8	2	74	0	5
Point (36.70815499999999787 34.71949800000000153)	0	34.740879	36.708324	82	0	0	0	1	1	1	1	0	0	0	2	14	6	7	2	2	21	1	1	0	1	0	4	1	0	0	1	3	0	1	2	2	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1	0	0	0	53	0	0	0	0	8	0	5	0	1
Point (36.7138089999999977 34.72050399999999826)	0	35.416335	36.38978	203	0	0	0	0	1	0	6	2	1	1	2	5	17	9	1	2	15	24	0	6	0	2	0	12	2	0	2	1	1	9	2	4	1	1	5	0	1	6	8	3	3	0	3	2	0	2	0	0	4	0	2	5	18	1	2	0	1	6	0	2	19	56	0	1	1	0	0	104	0	0	0	0	6	0	16	0	0
Point (39.23753899999999817 36.52092300000000336)	0	35.19829	36.732695	34	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	0	1	1	2	0	4	1	0	0	2	0	2	0	0	0	2	0	0	0	0	1	1	2	0	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	18	0	0	0	0	1	0	6	0	0
Point (36.1499990000000011 32.78329800000000205)	0	34.469698	40.911698	706	0	0	0	0	12	12	8	2	5	1	3	10	4	8	5	4	33	44	105	17	35	4	4	1	5	3	2	1	3	10	8	5	4	1	3	1	15	47	5	15	1	2	2	1	1	8	1	1	10	8	2	4	16	8	8	6	167	5	4	6	230	139	5	1	0	2	0	251	1	0	0	0	9	1	19	0	6
Point (36.71979000000000326 34.72917900000000202)	0	36.587139	37.044182	477	0	0	0	0	1	0	0	0	1	1	0	20	16	5	4	5	59	51	21	7	0	16	25	3	4	5	3	3	2	15	9	13	4	13	9	21	14	0	20	4	9	0	4	0	0	4	2	8	2	0	5	2	1	0	5	0	4	32	2	23	100	142	0	0	0	0	0	190	0	1	0	1	12	0	7	0	3
Point (37.04343800000000186 36.29603500000000338)	0	36.484245	37.19676	482	0	0	0	0	1	0	1	1	0	2	0	1	0	4	2	1	2	7	26	8	19	9	2	14	3	6	11	7	6	11	3	1	4	5	28	21	5	18	39	13	11	5	5	13	1	3	3	8	7	31	22	14	5	33	11	2	1	10	9	7	97	138	0	0	0	3	0	166	0	8	0	2	2	0	10	0	4
Point (40.92916499999999758 37.10475300000000232)	0	35.958972	36.712675	427	0	0	0	0	1	3	0	12	1	0	1	2	15	2	1	0	6	0	1	13	14	7	13	1	20	8	15	12	9	7	11	1	5	9	7	9	24	17	18	10	11	6	28	12	4	4	5	1	11	16	7	0	7	15	8	3	8	3	2	1	65	167	0	0	0	0	0	178	0	0	0	0	4	0	6	0	2
Point (36.39767599999999703 33.55284000000000333)	0	35.26188	36.605358	467	0	0	0	0	2	0	12	0	5	3	0	52	0	4	2	3	8	5	23	1	0	134	7	3	5	0	51	4	5	7	15	1	1	1	6	3	4	14	7	5	2	19	16	1	3	3	3	2	3	1	0	4	2	5	2	0	6	1	0	1	111	95	0	0	0	0	0	226	0	0	0	0	0	0	26	0	6
Point (41.2304590000000033 37.04942299999999733)	0	35.29215	36.743374	320	0	0	0	0	14	16	1	0	0	0	0	0	4	2	43	15	13	6	4	2	5	8	5	1	1	1	5	3	8	11	1	30	7	7	13	53	4	7	6	0	7	3	1	1	0	1	2	0	0	0	1	0	1	0	5	0	1	1	0	0	6	84	1	5	0	0	0	199	0	0	0	0	2	0	20	0	0
Point (36.68005899999999997 34.79223700000000008)	0	35.266085	36.710443	213	0	0	0	0	2	5	0	0	3	2	3	3	17	11	2	2	4	0	2	1	1	3	31	3	3	1	8	2	1	6	3	3	3	1	1	4	4	11	20	3	12	1	9	7	5	0	1	2	1	1	1	0	0	0	0	0	0	2	2	0	13	44	0	0	0	0	0	115	0	0	0	0	1	0	33	0	5
Point (36.31669999999999732 32.56669800000000237)	0	34.722356	36.699303	134	0	0	0	0	0	1	3	4	4	6	12	13	3	0	0	1	1	1	0	1	0	3	2	0	8	1	9	2	0	2	1	18	12	1	2	0	0	16	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	53	0	1	0	0	0	50	0	0	0	0	10	5	11	0	3
Point (36.70020499999999686 34.73245899999999864)	0	33.444477	36.160955	319	0	0	0	0	0	3	0	0	0	1	1	3	6	0	3	4	4	87	9	22	5	5	6	2	6	22	9	10	10	7	4	0	1	0	2	3	1	0	1	0	0	2	0	0	1	0	1	0	72	2	1	1	0	0	0	0	2	0	0	0	2	21	0	1	0	0	0	190	0	0	0	0	6	0	96	0	3
Point (35.82485400000000197 33.12438800000000327)	0	34.733971	36.702549	90	0	0	0	0	0	2	1	0	2	1	1	2	4	8	4	5	2	1	1	1	0	0	3	0	0	1	1	3	2	7	0	2	1	0	24	0	0	8	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	29	0	0	0	0	10	0	5	0	0
Point (36.68872799999999756 35.37729399999999913)	0	35.99773	36.784773	265	0	0	0	0	0	1	0	0	3	0	1	5	0	99	0	1	3	7	2	4	6	10	17	0	1	1	5	2	7	5	14	0	1	0	0	2	2	6	2	4	1	0	2	4	0	4	0	2	2	13	4	2	2	2	8	1	1	5	0	1	28	74	0	0	0	0	0	149	1	0	0	0	1	0	7	0	5
Point (36.60015099999999677 35.37561399999999878)	0	34.725576	36.729628	69	0	0	0	0	0	1	0	11	5	6	13	5	3	1	0	0	1	0	1	0	1	0	1	3	0	1	2	1	0	0	1	1	1	0	2	0	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	57	0	0	0	0	1	0	5	0	0
