num,id,country,cc,tc,cp,tp
2,AFG,Afghanistan,62.34,63224,0.01,5.95
3,ALB,Albania,7169.04,347,6.23,0.3
4,DZA,Algeria,119151.32,15776,8.64,1.14
7,AGO,Angola,48911.09,596,6.64,0.08
8,ATG,Antigua and Barbuda,285.04,121,8.87,3.77
9,ARG,Argentina,45847.76,246310,3.08,16.57
1,ARM,Armenia,11393.16,452,10.53,0.42
10,AUS,Australia,108667.65,12298,13.09,1.48
11,AUT,Austria,69039.86,1790,22.43,0.58
52,AZE,Azerbaijan,2676.67,12645,0.8,3.76
12,BHS,Bahamas,397.73,139,2.98,1.04
16,BGD,Bangladesh,665.09,61099,0.01,1.1
14,BRB,Barbados,647.19,214,6.29,2.08
57,BLR,Belarus,11553.24,4367,3.35,1.27
255,BEL,Belgium,56865.5,2178,14.15,0.54
23,BLZ,Belize,698.35,86,6.05,0.75
53,BEN,Benin,1315.76,347,0.37,0.1
17,BMU,Bermuda,139.52,44,5.88,1.85
19,BOL,Bolivia (Plurinational State of),23637.52,2736,6.27,0.73
80,BIH,Bosnia and Herzegovina,24349.44,68,17.38,0.05
20,BWA,Botswana,1898.76,1874,2.62,2.58
21,BRA,Brazil,610388.98,391293,8.49,5.44
26,BRN,Brunei Darussalam,2572.23,469,17.32,3.16
27,BGR,Bulgaria,33167.62,807,12.39,0.3
233,BFA,Burkina Faso,4467.85,2450,0.77,0.42
35,CPV,Cabo Verde,858.69,52,4.79,0.29
115,KHM,Cambodia,2589.73,111,0.49,0.02
32,CMR,Cameroon,33474.15,4701,4.33,0.61
33,CAN,Canada,267673.06,17021,21.26,1.35
37,CAF,Central African Republic,5328.65,2,3.29,0
39,TCD,Chad,18.72,257,0,0.06
40,CHL,Chile,4405.17,27910,0.7,4.42
351,CHN,China,82154.47,1319943,0.16,2.58
96,HKG,"China, Hong Kong SAR",22418.03,10521,8.66,4.06
128,MAC,"China, Macao SAR",2437.45,1078,12.23,5.41
41,CHN,"China, mainland",39389.67,1265339,0.08,2.53
214,TWN,"China, Taiwan Province of",17909.32,43005,2.11,5.08
44,COL,Colombia,60838.92,953,3.54,0.06
46,COG,Congo,627.63,529,0.41,0.34
48,CRI,Costa Rica,33796.67,225,19.54,0.13
107,CIV,C̫te d'Ivoire,34773.17,976,4.91,0.14
98,HRV,Croatia,23453.39,166,14.86,0.11
49,CUB,Cuba,16960.66,52,4.12,0.01
50,CYP,Cyprus,6008.46,409,14.74,1
167,CZE,Czechia,39545.03,2482,10.21,0.64
54,DNK,Denmark,52323.59,1672,25.71,0.82
72,DJI,Djibouti,534.87,2709,1.73,8.76
55,DMA,Dominica,239.56,5,9.24,0.19
56,DOM,Dominican Republic,22065.68,73,5.96,0.02
58,ECU,Ecuador,1221.32,2083,0.22,0.37
59,EGY,Egypt,18148.03,95701,0.63,3.3
60,SLV,El Salvador,19365,794,8.48,0.35
63,EST,Estonia,6494.85,541,13.75,1.15
238,ETH,Ethiopia,80228.9,6629,2.46,0.2
66,FJI,Fiji,159.62,573,0.5,1.81
67,FIN,Finland,65791.1,1696,33.45,0.86
68,FRA,France,370140.64,16982,15.95,0.73
70,PYF,French Polynesia,839.54,44,8.49,0.44
74,GAB,Gabon,620.6,209,1.07,0.36
75,GMB,Gambia,173.19,5586,0.27,8.82
73,GEO,Georgia,11750,1435,7.36,0.9
79,DEU,Germany,533996.38,45164,17.65,1.49
81,GHA,Ghana,1696.94,1579,0.19,0.17
84,GRC,Greece,62845.67,4478,15.49,1.1
86,GRD,Grenada,38.34,40,1,1.04
89,GLP,Guatemala,17138.27,1057,3.19,0.2
90,GIN,Guinea,15906.91,7626,3.9,1.87
175,GNB,Guinea-Bissau,61.74,3,0.1,0.01
91,GUY,Guyana,923.01,314,3.2,1.09
93,HTI,Haiti,23776.38,28,6.49,0.01
95,HND,Honduras,23946.45,374,8.44,0.13
97,HUN,Hungary,4991.98,913,1.37,0.25
99,ISL,Iceland,2422.01,150,20.61,1.28
100,IND,India,4610.68,783897,0.01,1.76
101,IDN,Indonesia,164763.29,91381,1.85,1.03
102,IRN,Iran (Islamic Republic of),15742.09,137883,0.57,5.01
103,IRQ,Iraq,1194.23,25029,0.1,2.15
104,IRL,Ireland,12447.25,8516,7.54,5.16
105,ISR,Israel,29371.14,1871,10.67,0.68
106,ITA,Italy,349824.47,5830,15.78,0.26
109,JAM,Jamaica,8084.38,48,8.04,0.05
110,JPN,Japan,467725.53,123404,10.06,2.66
112,JOR,Jordan,18631.68,5307,7.58,2.16
108,KAZ,Kazakhstan,16844.9,29203,2.87,4.97
114,KEN,Kenya,2667.58,136083,0.17,8.87
83,KIR,Kiribati,20.91,26,0.58,0.72
118,KWT,Kuwait,7341.79,9995,6.44,8.76
113,KGZ,Kyrgyzstan,3400.05,3630,1.72,1.84
120,LAO,Lao People's Democratic Republic,38202,936,16.05,0.39
119,LVA,Latvia,10213.34,2084,13.5,2.75
121,LBN,Lebanon,32559.32,3296,19.92,2.02
122,LSO,Lesotho,50,0,0.07,0
123,LBR,Liberia,253.32,348,0.17,0.23
126,LTU,Lithuania,14749.08,1222,13.27,1.1
256,LUX,Luxembourg,13327.73,242,70.76,1.28
129,MDG,Madagascar,56376.52,332,7.12,0.04
130,MWI,Malawi,3373.49,6121,0.6,1.08
131,MYS,Malaysia,2240,32922,0.21,3.14
132,MDV,Maldives,2068.84,275,17.07,2.27
133,MLI,Mali,2127.81,7147,0.4,1.36
134,MLT,Malta,1664.82,955,10.71,6.14
136,MRT,Mauritania,17.75,9727,0.01,7.2
137,MUS,Mauritius,1114.66,1801,2.47,4
138,MEX,Mexico,84824.7,4936,1.95,0.11
141,MNG,Mongolia,5318.58,3835,5.29,3.82
273,MNE,Montenegro,8797,118,38.81,0.52
143,MAR,Morocco,12489.4,64048,1.07,5.47
144,MOZ,Mozambique,2860.41,28368,0.32,3.16
28,MMR,Myanmar,59418.6,32481,3.11,1.7
147,NAM,Namibia,7876.62,99,9.73,0.12
149,NPL,Nepal,1054.39,8953,0.11,0.9
150,NLD,Netherlands,39377.46,16287,6.47,2.68
153,NCL,New Caledonia,1082.47,155,11.86,1.7
156,NZL,New Zealand,14056.2,1425,8.72,0.88
157,NIC,Nicaragua,9195.03,350,4.27,0.16
158,NER,Niger,1158.11,8309,0.19,1.38
159,NGA,Nigeria,7974.83,992,0.13,0.02
162,NOR,Norway,48331.82,1440,26.78,0.8
221,OMN,Oman,5850.07,3159,5.3,2.86
165,PAK,Pakistan,404.11,115667,0.01,1.8
166,PAN,Panama,8333.61,981,6.1,0.72
169,PRY,Paraguay,3125.41,80300,1.3,33.47
170,PER,Peru,32695.43,3920,3.02,0.36
171,PHL,Philippines,184932.45,3658,5.33,0.11
173,POL,Poland,80385.47,35141,5.76,2.52
174,PRT,Portugal,50362.32,1189,13.02,0.31
117,KOR,Republic of Korea,73097.76,3490,4.11,0.2
146,MDA,Republic of Moldova,5102.81,903,3.95,0.7
183,ROU,Romania,45202.97,3171,5.68,0.4
185,RUS,Russian Federation,282436.37,184414,5.39,3.52
184,RWA,Rwanda,1605.77,3253,0.39,0.8
188,KNA,Saint Kitts and Nevis,28.17,2,1.46,0.1
189,LCA,Saint Lucia,79.65,35,1.22,0.54
191,VCT,Saint Vincent and the Grenadines,175.58,47,4.41,1.18
244,WSM,Samoa,1622.77,35,23.78,0.51
193,STP,Sao Tome and Principe,39.77,19,0.6,0.28
194,SAU,Saudi Arabia,65853.78,32089,6.5,3.17
195,SEN,Senegal,2676.03,5050,0.55,1.04
272,SRB,Serbia,43364.45,94,12.38,0.03
197,SLE,Sierra Leone,6661.04,365,3.11,0.17
199,SVK,Slovakia,34120.27,959,17.18,0.48
198,SVN,Slovenia,13992.67,293,18.59,0.39
25,SLB,Solomon Islands,302.82,114,1.54,0.58
202,ZAF,South Africa,63222.3,23428,3.33,1.24
203,ESP,Spain,177174.27,5237,10.44,0.31
38,LKA,Sri Lanka,5970.54,18059,0.78,2.36
206,SDN,Sudan (former),34345.32,34240,2.16,2.15
207,SUR,Suriname,626.28,397,3.24,2.05
209,SWZ,Swaziland,443.41,71,1,0.16
210,SWE,Sweden,97035.9,3842,28.14,1.11
211,CHE,Switzerland,58782.14,2391,20.35,0.83
208,TJK,Tajikistan,1020.78,6600,0.36,2.31
216,THA,Thailand,19763.32,75163,0.81,3.09
154,MKD,The former Yugoslav Republic of Macedonia,9074.02,624,11.82,0.81
176,TLS,Timor-Leste,3925.34,56,9.81,0.14
217,TGO,Togo,2443.48,159,1.03,0.07
220,TTO,Trinidad and Tobago,2083.13,311,4.28,0.64
222,TUN,Tunisia,25329.77,9230,6.45,2.35
223,TUR,Turkey,36207.15,227555,1.36,8.53
213,TKM,Turkmenistan,0,3334,0,1.79
226,UGA,Uganda,24266.94,1879,1.89,0.15
230,UKR,Ukraine,98160.25,25771,5.87,1.54
225,ARE,United Arab Emirates,16909.29,5133,5.19,1.58
229,GBR,United Kingdom,167225.34,129364,7.31,5.66
215,TZA,United Republic of Tanzania,21894.42,4316,1.29,0.26
231,USA,United States of America,1310018.28,167397,11.4,1.46
234,URY,Uruguay,4960.19,32665,4.02,26.45
235,UZB,Uzbekistan,38.1,20442,0,1.99
155,VUT,Vanuatu,117.54,62,1.33,0.7
236,VEN,Venezuela (Bolivarian Republic of),88606.77,1356,8.23,0.13
237,VNM,Viet Nam,589,72700,0.02,2.22
249,YEM,Yemen,16853.85,15075,1.98,1.77
251,ZMB,Zambia,6322.1,1649,1.27,0.33
181,ZWE,Zimbabwe,3013.23,7224,0.62,1.48